index,Headings,Text,result
30,INSTRUCTION,Disconnect the high-voltage harness engagement detection switch harness connector .,
73,INSTRUCTION,20.Remove the vehicle communications harness and voltage detection harness.,
86,INSTRUCTION,• Be sure to reinstall the high volt age harness clips in their original positions.,
32,INSTRUCTION,4.Open the bus bar cover and remove the high-voltage harness connector terminal mounting bolt .DANGER: •  There is the danger of electric shock caused by contact with the terminals.,
41,INSTRUCTION,"8.Disconnect the vehicle communications harness connector , connector clips , and Li-ion battery heater harness connector WARNING: To prevent electric shock, wear insulated protective gear and use insulated tools.",
3,WARNING, • Be sure to remove the service plug in order to shut  off the high voltage circuits before performing inspection or maintenance of hi gh voltage system harnesses and parts.,
70,INSTRUCTION,"19.Remove the mounting nuts , then remove high-voltage harness  and .",
35,INSTRUCTION,5.Remove the mounting bolt  and disconnect the high-voltage harness connector from the connector flange.,
66,INSTRUCTION,"18.Invert the service plug switch bracket and remove the high-volt- age harness mounting bolt , current sensor mounting bolt , and the connector , then remove the service plug switch bracket .",
37,INSTRUCTION,6.Disconnect the PTC heater harness connector .,
75,INSTRUCTION,": Harness clip JSCIA0764ZZ Vehicle communications harness Voltage detection harness Snap ring : Harness clip JSCIA0765ZZ Revision: June 2014 2015 Leaf NAMLI-ION BATTERY EVB-213< UNIT DISASSEMBLY AND ASSEMBLY > PASSEMBLY Note the following items, and disassembly in the reverse order of disassembly.",
6,INSTRUCTION,• Clearly identify the persons responsible for high voltage work and ensure that other persons do not touch the vehicle.,
5,INSTRUCTION,• Be sure to put on insulating protective gear be fore beginning work on the high voltage system.,
27,INSTRUCTION,2.Remove Li-ion battery controller.,
0,INSTRUCTION,"EVB-204< UNIT DISASSEMBLY AND ASSEMBLY >LI-ION BATTERY BATTERY JUNCTION BOX AND BATTE RY HARNESS : Exploded View  Service plug switch Service plug switch bracket High-voltage battery harness Bus bar nut cap Bus bar Bus bar nut cap Bus bar (integrated with noise filter) Battery junction box Harness bracket Vehicle communications harness Snap ring PTC heater harness connector JSCIA0761GB Revision: June 2014 2015 Leaf NAMLI-ION BATTERY EVB-205< UNIT DISASSEMBLY AND ASSEMBLY > PBus bar Layout DANGER:High-voltage harness connector Connector flange Seal Voltage detection harness Bus bar Battery current sensor (integrated  with bus bar) High-voltage battery harness : Always replace after every disas- sembly.: N·m (kg-m, in-lb) Revision: June 2014 2015 Leaf NAMEVB-206< UNIT DISASSEMBLY AND ASSEMBLY >LI-ION BATTERY Because there is a danger of electric shock and fire, never contact bus bar in a wrong terminal.",
4,INSTRUCTION,• Be sure to put the removed service plug in pocket and carry it or store it in a tool box or other con- tainer so that another person does not accident ally connect it while work is in progress.,
26,INSTRUCTION,Remove the battery pack upper case.,
28,INSTRUCTION,"Refer to EVB-201, ""LI-ION BATTERY CONTROLLER : Removal and Installation"" .",
54,INSTRUCTION,"• Because there is a risk of electric shock, immedi- ately protect the terminals of the disconnected  high-voltage harness co nnector (high-voltage terminals) with insulating tape  so that they are not exposed.",
8,INSTRUCTION,"• Refer to EVB-7, ""High Voltage Precautions"" .",
9,INSTRUCTION,"• If the battery pack is to be disassembled, be sure to remove the Li-ion battery controller for prevent- ing electric shock, fire, and damage to parts.",
52,DANGER, •  There is the danger of electric shock caused by contact with the terminals.,
82,WARNING, Install the Li-ion battery controll er immediately before installing the battery pack upper case.,
64,INSTRUCTION,17.Remove the service plug switch bracket  mounting bolts .,
55,INSTRUCTION,"• Because of the danger of electric shock, be su re to close the bus bar cover after removing the bus bar.",
36,WARNING," To prevent electric shock, wear insulated protective gear and use insulated tools.",
12,INSTRUCTION,ENVIRONMENT FOR LI-ION BATTERY DISASSEMBLY WORK 1.,
42,INSTRUCTION,9.Remove the bus bar nut caps .,
10,INSTRUCTION,CAUTION: There is the possibility of a malfunction occurring if the vehicle is changed to READY status while the service plug is removed.,
87,INSTRUCTION,"If a clip is damaged, replace it with a new cl ip before installing.",
56,INSTRUCTION,14.Remove the mounting nuts  and remove the junction box .,
7,INSTRUCTION,"When not working, cover high vo ltage components with an anti-static cover sheet or similar item to prevent contact with other persons.",
48,INSTRUCTION,Lifting up the left side first makes removal easier.,
84,INSTRUCTION,CAUTION: • Perform the “LI-ION BATTERY JUNCTION BOX DATA CLEAR” when battery junction box is replaced.,
29,INSTRUCTION,Revision: June 2014 2015 Leaf NAMEVB-208< UNIT DISASSEMBLY AND ASSEMBLY >LI-ION BATTERY 3.,
44,INSTRUCTION,"10.Remove the bus bar mounting nuts  and , and remove the bus bar (integrated with noise filter) .",
33,INSTRUCTION,Be sure to wear insulated pro- tective gear and use insulated tools.,
77,INSTRUCTION,Be sure to wear insulated protective gear and use insulated tools.,
88,INSTRUCTION,"• Check the following items after installing battery pack: Refer to EVB-256, ""Inspection"" .",
81,INSTRUCTION,"- Since the correct installation posi tion for the bus bar connected to  both front module stacks is com- monly-confused with the wrong posi tion , install the bus bar to th e correct position  with extreme caution.",
78,INSTRUCTION,"• Because there is a danger of electric shock and fi re, never allow bus bar to contact a wrong ter- minal.",
11,INSTRUCTION,Therefore do not change th e vehicle to READY status unless instructed to do so in the Service Manual.,
79,INSTRUCTION,"- If bus bar contacts a wrong terminal, the circ uit becomes energized and a short may occur.",
24,INSTRUCTION,• Depending on type of fire (vehicle or battery) use standard fire fighting equipment (water or extin- guisher).,
89,INSTRUCTION,AIR LEAK INSPECTION ELECTRIC EQUIPOTENTIAL TEST LI-ION BATTERY HEATER Correct position Wrong position : Battery front JSCIA0873ZZ Revision: June 2014 2015 Leaf NAM,
80,INSTRUCTION,- Always keep the bus bar cover closed until imme diately before the installation of bus bar.,
17,INSTRUCTION,"• The indoor environment must also prevent metal powder, grease, and other foreign substances from entering due to maintenance performed on other vehicl es and other sources during disassembly work.",
23,INSTRUCTION,5.Standard fire fighting equipment • Always place a standard fire fighting equipment in the disassembly work area.,
22,INSTRUCTION,"• Take appropriate countermeasures so that persons other than the operator do not enter the work space, such as by placing signs indicating that disassembly work is in progress.",
85,INSTRUCTION,"Refer to EVC-137, ""Work Procedure"" .",
18,INSTRUCTION,"• If there is a risk of the above substances entering,  take appropriate countermeasures, such as use of a vinyl curtain or an equivalent to shut out the outside environment.",
16,INSTRUCTION,"2.Metal powder, grease, and other foreign substances must not enter.",
2,INSTRUCTION,Be sure to follow the correct work procedur es when performing inspection and maintenance.,
25,INSTRUCTION, 1.,
21,INSTRUCTION,4.Work space • The work space must be approximately the size of one entire vehicle.,
14,INSTRUCTION,"• The environment must utilize a shutter or other m eans to shut out the outside environment and prevent rain, snow, dust, or other substances from entering.",
15,INSTRUCTION,"• The environment must not cause the intrusion of sweat during work, or cause condensation to occur due to high temperature or humidity.",
13,INSTRUCTION,Must be an indoor environment.,
20,INSTRUCTION,• The floor must not be wet as a result of factors such as vehicle entry during rain or snow.,
19,INSTRUCTION,3.The floor must be dry.,
